"","Cidade","UF","Sexo","Idade","Peso","Altura","Curso","Opção.ENEM","Nota.ENEM","Idade.da.Escolha.do.Curso","Gosto.pela.Área.de.Exatas"
"141","Russas","CE","Masculino",19,68,1.68,"Ciência da Computação","Sim",NA,17,4
"142","Aracoiaba","CE","Feminino",18,50,1.65,"Engenharia de Produção","Sim","592.16",17,4
"143","Aracati","CE","Feminino",17,100,1.6,"Engenharia de Produção","Sim",NA,16,5
"144","Aracoiaba","CE","Feminino",18,50,1.65,"Engenharia de Produção","Sim","592.16",17,4
"145","Jaguaribe","CE","Masculino",18,64,1.75,"Engenharia de Produção","Sim","651.5",13,5
"146","Palhano","CE","Feminino",18,72,1.57,"Engenharia de Produção","Não","630",17,4
"147","Morrinhos","CE","Masculino",19,59,1.66,"Engenharia de Produção","Sim","650",18,5
"148","Sobral","CE","Masculino",20,70,1.8,"Engenharia Mecânica","Sim",NA,16,4
"149","Marco","CE","Feminino",18,58,1.53,"Engenharia de Produção","Sim","636.1",16,4
"150","Canindé","CE","Masculino",20,81,1.73,"Engenharia Mecânica","Sim",NA,13,5
"151","Jaguaruana","CE","Feminino",19,39,1.61,"Ciência da Computação","Sim","640.75",15,4
"152","Palhano","CE","Masculino",19,60,1.63,"Engenharia de Software","Sim",NA,18,4
"153","Jaguaruana","CE","Masculino",19,65.7,1.63,"Engenharia Mecânica","Sim","634.2",18,3
"154","Fortaleza","CE","Masculino",19,65,1.7,"Ciência da Computação","Sim","633",10,3
"155","Russas","CE","Feminino",18,62,1.53,"Engenharia de Produção","Sim","619.65",17,5
"156","Russas","CE","Masculino",18,70,1.74,"Ciência da Computação","Sim","652",17,4
"157","Jaguaruna","CE","Masculino",23,110,1.75,"Engenharia de Software","Sim","450",17,2
"158","Limoeiro do norte","CE","Feminino",19,59,1.6,"Engenharia de Produção","Sim","667",18,4
"159","Morada Nova","CE","Feminino",18,56.3,1.67,"Engenharia de Produção","Não","551.14",18,4
"160","Porteiras","CE","Masculino",21,73,1.7,"Engenharia Civil","Sim",NA,15,4
"161","Palhano","CE","Feminino",19,61,1.63,"Engenharia de Produção","Não",NA,18,4
"162","Quixeramobiim","CE","Masculino",21,80,1.83,"Ciência da Computação","Sim","693",17,3
"163","Fortaleza","CE","Feminino",22,59,1.58,"Engenharia Mecânica","Sim",NA,17,4
"164","Russas","CE","Masculino",18,73,1.94,"Engenharia Mecânica","Sim","650",18,4
"167","Quixadá","CE","Masculino",18,75,1.64,"Engenharia Mecânica","Sim","655",15,5
"168","Tabuleiro do Norte","CE","Masculino",33,77,1.76,"Engenharia de Software","Não",NA,31,4
"169","Russas","CE","Feminino",19,61,1.64,"Ciência da Computação","Sim","540",17,4
"170","Jaguaruana","CE","Masculino",19,92,1.82,"Engenharia de Produção","Sim","645",18,5
"171","Russas","CE","Masculino",20,67,1.71,"Engenharia de Produção","Sim","561.3",18,4
"172","Meruoca","CE","Feminino",21,62,1.60,"Engenharia de Software","Não",NA,18,5
"173","Russas","CE","Masculino",43,43,1.62,"Engenharia Mecânica","Sim","599.5",43,4
"174","Jaguaruana","CE","Masculino",23,61,1.66,"Ciência da Computação","Sim","530",18,4
"175","Jaguaruana","CE","Prefiro não declarar",18,51,1.57,"Engenharia de Produção","Sim","631",17,3
"176","Russas","CE","Feminino",17,43,1.56,"Engenharia de Produção","Sim","604.05",17,2
"177","Jaguaruana","CE","Prefiro não declarar",18,51,1.57,"Engenharia de Produção","Sim","631",17,3
"178","Jaguaruana","CE","Feminino",22,62,1.56,"Engenharia de Software","Não",NA,16,3
"179","Russas","CE","Masculino",25,58,1.70,"Engenharia de Software","Sim","650",21,3
